adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
FALSE,/lqxxwTRk0l7CubY6JkJdhnwJEkn.jpg,"c(18, 10749, 36)",331482,en,Little Women,Four sisters come of age in America in the aftermath of the Civil War.,39.8,/yn5ihODtZ7ofn8pDYfxCmxh8AXI.jpg,2019-12-25,Little Women,FALSE,7.9,5596
FALSE,/uNLIMPxknsV4n3IAEDpS1iqF5dm.jpg,"c(14, 18, 10749)",162,en,Edward Scissorhands,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,50.284,/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg,1990-12-05,Edward Scissorhands,FALSE,7.7,11898
FALSE,/vRTKNKNWLZ22fAgPa5kY8wT2b1F.jpg,"c(35, 18, 10749)",284,en,The Apartment,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",24.861,/uV1p6EQzSfMFSvEWro8ff6g8J6A.jpg,1960-06-21,The Apartment,FALSE,8.2,1966
FALSE,/2rSwXeyGJH1vmtlgP3EqzdfTEC1.jpg,"c(10749, 35, 10751)",833097,en,Falling for Christmas,"An engaged, spoiled hotel heiress finds herself in the care of a handsome, blue-collar lodge owner and his precocious daughter after getting amnesia in a skiing accident.",18.121,/zgtkXLJagDMlW4iXTCojL5guDeu.jpg,2022-11-10,Falling for Christmas,FALSE,6.3,598
FALSE,/xUWf5xX0AnZgAnYXAMk03zTbsef.jpg,"c(35, 10749, 18)",508,en,Love Actually,Eight London couples try to deal with their relationships in different ways. Their tryst with love makes them discover how complicated relationships can be.,19.714,/7QPeVsr9rcFU9Gl90yg0gTOTpVv.jpg,2003-09-07,Love Actually,FALSE,7.1,5979
FALSE,/9Ebn8atCcGk5OZrx4xmoTobAxoh.jpg,"c(35, 10749)",1581,en,The Holiday,"Two women, one from the United States and one from the United Kingdom, swap homes at Christmas time after bad breakups with their boyfriends. Each woman finds romance with a local man but realizes that the imminent return home may end the relationship.",21.159,/6fbqG49Q7IWBWdyJ7asNTcNbnG6.jpg,2006-12-08,The Holiday,FALSE,7.1,4519
FALSE,/4LEuqvjrtysd7qe0dQMieTl4ys0.jpg,"c(18, 10749)",9587,en,Little Women,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.",21.587,/1ZzH1XMcKAe5NdrKL5MfcqZHHsZ.jpg,1994-12-21,Little Women,FALSE,7.3,1104
FALSE,/1EKPfRFMl9rV55gcXP8wWfOC5YP.jpg,"c(35, 18, 10749, 14)",5994,en,The Family Man,"Jack's lavish, fast-paced lifestyle changes one Christmas night when he stumbles into a grocery store holdup and disarms the gunman. The next morning he wakes up in bed lying next to Kate, his college sweetheart he left in order to pursue his career, and to the horrifying discovery that his former life no longer exists. As he stumbles through this alternate suburban universe, Jack finds himself at a crossroad where he must choose between his high-power career and the woman he loves.",18.442,/zsedbiD7i2SepxIxb0F3U95mqyH.jpg,2000-12-12,The Family Man,FALSE,6.8,1707
FALSE,/fROgQIALHJEmayqLITFHhOMW3ef.jpg,"c(35, 18, 10749)",858,en,Sleepless in Seattle,"When Sam Baldwin's wife dies, he is left to bring up his eight-year-old son Jonah alone, and decides to move to Seattle to make a new start. On Christmas Eve, Jonah rings a radio phone-in with his Christmas wish to find a new wife for his dad. Meanwhile in Baltimore, journalist Annie Reed, who is having doubts about her own relationship, is listening in.",21.013,/iLWsLVrfkFvOXOG9PbUAYg7AK3E.jpg,1993-06-24,Sleepless in Seattle,FALSE,6.7,2068
FALSE,/d9BwkpCncTNXTMfhx6bEgD5nyi0.jpg,"c(35, 10402, 10749, 14)",606117,en,A Cinderella Story: Christmas Wish,"Kat is an aspiring singer-songwriter who dreams of making it big. However, her dreams are stalled by her reality: a conniving and cruel stepfamily  and a demoralizing job working as a singing elf at billionaire Terrence Wintergarden’s Santa Land.",24.335,/ozBX0u5caaJFli9AssqJmARb5R.jpg,2019-10-15,A Cinderella Story: Christmas Wish,FALSE,6.4,640
